Status	Transcript_ID	Gene_ID	Location	Transcript_Length	No_of_exons	No_of_samples	Average_TPM	Maximum_TPM	NR_Eval	NR_hit	SP_Eval	SP_hit	CDD_Eval	Pfam_Eval	CDSlen	CDSreps	CDSrepeatcov	ALU_cdcov	LINE_cdcov	GencodeCall
coding	CHS.55578.5	CHS.55578	chr9:61672749-61674874:-	1705	2	4	1.195119	1.687937	6e-63	EAW80445.1, hCG1795400 [Homo sapiens]	-	-	0.00837726	-	-	-	-	-	-	-
non-coding	CHS.20892.1	CHS.20892	chr17:722531-732316:+	9786	1	1354	3.25621563220089	22.569984	9e-18	CAD33452.1, unnamed protein product [Homo sapiens]	-	-	-	-	333	Simple_repeat:49,SINE|Alu:248	89.2	74.5	0	SINE/Alu;Simple_repeat
non-coding	CHS.24098.4	CHS.24098	chr18:8974487-8998422:+	2451	3	187	5.63276189304813	28.178564	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu
non-coding	CHS.24098.3	CHS.24098	chr18:8974487-8980729:+	436	2	59	3.2000273559322	9.097818	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu
non-coding	CHS.24098.2	CHS.24098	chr18:8974487-8979364:+	454	2	17	2.20982688235294	3.991817	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu
non-coding	CHS.24098.5	CHS.24098	chr18:8974495-8998943:+	13397	3	5	4.9616888	9.166386	5e-41	EHH20863.1, hypothetical protein EGK_03802, partial [Macaca mulatta]	1.07e-28	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	354	SINE|Alu:296	83.6	83.6	0	SINE/Alu
coding	CHS.33245.1	CHS.33245	chr20:30290598-30292599:+	1956	2	14	1.93568121428571	4.058868	1e-82	BAD92674.1, similar to FKSG60, partial [Homo sapiens]	-	-	0.000185598	-	792	Retroposon|SVA:792	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.49781.3	CHS.49781	chr7:4434321-4476229:+	272	2	461	1.91338447071583	11.181755	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu
non-coding	CHS.49781.1	CHS.49781	chr7:4434296-4476916:+	1008	2	23	1.36582695652174	2.369494	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu
non-coding	CHS.49781.2	CHS.49781	chr7:4434313-4482342:+	600	2	7	0.941903571428571	1.54621	3e-32	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	3.62e-31	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1	-	-	234	SINE|Alu:216	92.3	92.3	0	SINE/Alu
coding	CHS.26544.1	CHS.26544	chr19:36259377-36266585:-	5425	2	1165	2.84049836909871	18.113832	7e-67	XP_004048119.2, PREDICTED: protein FAM27D1-like [Gorilla gorilla gorilla]	1.09e-33	sp|Q1W209|ESRG_HUMAN, Embryonic stem cell-related gene protein OS=Homo sapiens GN=ESRG PE=2 SV=2	-	-	-	-	-	-	-	Satellite/centr;Simple_repeat
coding	CHS.26544.3	CHS.26544	chr19:36268383-36272964:-	2081	2	6	16.4867661666667	49.61747	7e-67	XP_004048119.2, PREDICTED: protein FAM27D1-like [Gorilla gorilla gorilla]	-	-	-	1.80E-25	-	-	-	-	-	Satellite/centr;Simple_repeat
coding	CHS.26544.6	CHS.26544	chr19:36270176-36305826:-	211	2	3	24.496047	66.010094	-	-	-	-	-	-	-	-	-	-	-	Satellite/centr;Simple_repeat
coding	CHS.26544.5	CHS.26544	chr19:36270176-36278089:-	317	2	1	32.178837	32.178837	-	-	-	-	-	-	-	-	-	-	-	Satellite/centr;Simple_repeat
coding	CHS.26544.4	CHS.26544	chr19:36269027-36275765:-	1697	2	3	7.05477666666667	19.909309	7e-67	XP_004048119.2, PREDICTED: protein FAM27D1-like [Gorilla gorilla gorilla]	-	-	-	1.80E-25	-	-	-	-	-	Satellite/centr;Simple_repeat
coding	CHS.26544.2	CHS.26544	chr19:36259446-36279015:-	7415	3	1	5.066335	5.066335	1e-21	AAH24922.1, Unknown (protein for IMAGE:4345791), partial [Homo sapiens]	-	-	-	-	-	-	-	-	-	Satellite/centr;Simple_repeat
non-coding	CHS.29993.1	CHS.29993	chr2:82309560-82317203:-	1363	2	12	1.156973	1.823343	4e-33	EAW68953.1, hCG1814039, partial [Homo sapiens]	3.82e-30	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	258	SINE|Alu:239	92.6	92.6	0	SINE/Alu
non-coding	CHS.10722.1	CHS.10722	chr12:4460244-4484438:-	669	2	30	1.18418043333333	2.438716	4e-29	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	2.27e-22	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	297	SINE|Alu:218	73.4	73.4	0	SINE/Alu
discard	CHS.53450.1	CHS.53450	chr8:55827853-55874505:+	9425	2	2	2.820786	3.260221	5e-24	BAB01630.1, unnamed portein product [Macaca fascicularis]	1.11e-20	sp|E7EU14|PP5D1_HUMAN, Protein PPP5D1 OS=Homo sapiens GN=PPP5D1 PE=2 SV=2	-	-	324	Simple_repeat:55,SINE|Alu:213	82.7	65.7	0	SINE/Alu;Simple_repeat
coding	CHS.53541.1	CHS.53541	chr8:61014964-61022422:+	4489	2	2	1.456717	1.749204	1e-17	EHH18371.1, hypothetical protein EGK_14950, partial [Macaca mulatta]	-	-	-	-	234	SINE|Alu:167	71.4	71.4	0	SINE/Alu
non-coding	CHS.27710.1	CHS.27710	chr19:57088404-57095584:+	5985	2	100	4.05379374	18.901751	9e-29	EHH49632.1, hypothetical protein EGM_00324, partial [Macaca fascicularis]	8.55e-27	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	411	SINE|Alu:227	55.2	55.2	0	SINE/Alu
non-coding	CHS.3531.1	CHS.3531	chr1:161291967-161296752:+	4637	2	24	1.47516508333333	4.010125	6e-19	EHH17260.1, hypothetical protein EGK_13613, partial [Macaca mulatta]	-	-	-	-	237	SINE|Alu:157	66.2	66.2	0	SINE/Alu
non-coding	CHS.44776.1	CHS.44776	chr5:173766734-173767304:-	571	1	29	6.88120489655172	143.65593	4e-26	BAE89454.1, unnamed protein product [Macaca fascicularis]	-	-	-	-	219	SINE|Alu:215	98.2	98.2	0	SINE/Alu
coding	CHS.2823.1	CHS.2823	chr1:145459794-145460756:+	797	2	2	1.0715195	1.216781	8e-40	XP_010368881.1, PREDICTED: cleavage and polyadenylation specificity factor subunit 6-like [Rhinopithecus roxellana]	-	-	-	-	-	-	-	-	-	-
coding	CHS.55552.1	CHS.55552	chr9:42724994-42726506:+	1084	2	3	1.207953	2.554347	2e-46	XP_011782881.1, PREDICTED: uncharacterized protein LOC105501504 isoform X4 [Colobus angolensis palliatus]	8.42e-28	sp|A6NN06|U633A_HUMAN, Putative UPF0633 protein MGC21881 OS=Homo sapiens PE=5 SV=1	-	-	-	-	-	-	-	SINE/MIR
non-coding	CHS.1008.2	CHS.1008	chr1:29129153-29137368:+	6671	2	30	2.66647636666667	5.219341	4e-19	EAW78405.1, hCG2021310 [Homo sapiens]	-	-	-	-	441	SINE|Alu:317,Low_complexity:124	100.0	71.9	0	SINE/Alu;Low_complexity
non-coding	CHS.1008.1	CHS.1008	chr1:29124945-29139372:+	5516	2	10	1.75423	3.330097	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu;Low_complexity
discard	CHS.47828.1	CHS.47828	chr6:151474433-151478518:+	1279	2	5	1.1185924	1.409362	2e-23	EHH14291.1, hypothetical protein EGK_00186, partial [Macaca mulatta]	-	-	-	-	252	SINE|Alu:198	78.6	78.6	0	SINE/Alu
non-coding	CHS.37766.1	CHS.37766	chr3:93841296-93841757:+	462	1	31	6.73826748387097	53.988926	2e-25	EAW64334.1, hCG2041539, partial [Homo sapiens]	4.54e-20	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	267	SINE|Alu:235	88.0	88.0	0	SINE/Alu
coding	CHS.11637.2	CHS.11637	chr12:51813540-51814957:-	1418	1	109	2.10319488990826	14.7456	0.0	EAW58204.1, hCG1648055 [Homo sapiens]	-	-	-	-	-	-	-	-	-	Simple_repeat
non-coding	CHS.31306.2	CHS.31306	chr2:170141979-170152237:+	3540	2	15	1.30120333333333	3.802967	7e-42	EAW51232.1, hCG1820357 [Homo sapiens]	-	-	-	-	222	Retroposon|SVA:222	100.0	100.0	0	Retroposon/SVA
