Status	Gene_ID	Location	NR_blast_Eval	NR_hit	SP_blast_Eval	SP_hit
discard	CHS.10012	chr11:113875694-113899029:+	1e-17	CAE91339.1, unnamed protein product [Homo sapiens]	-	-
non-coding	CHS.10056	chr11:116307531-116308521:+	3e-22	CAE89781.1, unnamed protein product [Homo sapiens]	-	-
non-coding	CHS.1008	chr1:29124945-29139372:+	4e-19	EAW78405.1, hCG2021310 [Homo sapiens]	-	-
non-coding	CHS.10158	chr11:119057437-119059239:+	4e-81	BAC85254.1, unnamed protein product [Homo sapiens]	-	-
discard	CHS.10242	chr11:121958716-121961024:+	2e-16	AAL23680.1, non-small cell lung cancer RimL3b protein, partial [Homo sapiens]	-	-
coding	CHS.10342	chr11:125436730-125444466:-	3e-80	EAW67635.1, hCG2032746 [Homo sapiens]	-	-
non-coding	CHS.10505	chr11:134551785-134556172:-	2e-16	CAF15934.1, unnamed protein product, partial [Homo sapiens]	-	-
coding	CHS.10511	chr11:134951577-134976082:-	2e-17	XP_016824944.1, PREDICTED: uncharacterized protein LOC107978944 isoform X1 [Cricetulus griseus]	-	-
discard	CHS.10606	chr12:41224-43313:-	5e-85	AAK08113.1, FKSG69 [Homo sapiens]	-	-
discard	CHS.10607	chr12:42215-43326:+	3e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-
coding	CHS.10618	chr12:218949-220508:-	2e-176	XP_016778196.1, PREDICTED: uncharacterized protein LOC107967395 [Pan troglodytes]	-	-
discard	CHS.10649	chr12:1649031-1659981:-	2e-20	CAD69798.1, unnamed protein product [Homo sapiens]	-	-
non-coding	CHS.10686	chr12:2944010-2951143:+	6e-44	CAD69516.1, unnamed protein product [Homo sapiens]	1.20e-33	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
non-coding	CHS.10722	chr12:4460244-4484438:-	4e-29	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	2.27e-22	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.10863	chr12:7977821-7980584:-	4e-28	EHH64004.1, hypothetical protein EGM_17106, partial [Macaca fascicularis]	1.87e-20	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.10864	chr12:7978870-7981618:+	6e-17	EHH15138.1, hypothetical protein EGK_01187, partial [Macaca mulatta]	-	-
discard	CHS.10865	chr12:8019226-8031945:-	3e-27	XP_011506841.1, PREDICTED: putative uncharacterized protein encoded by LINC00596, partial [Homo sapiens]	-	-
discard	CHS.10867	chr12:8030055-8032610:+	4e-19	CAE92165.1, unnamed protein product [Homo sapiens]	-	-
discard	CHS.11260	chr12:27017041-27022415:-	2e-24	EAW54808.1, hCG2038449, partial [Homo sapiens]	-	-
discard	CHS.11514	chr12:48330701-48332934:-	2e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-
